6876 6876
2270 2245 3
2245 2244 4
2244 2205 3
2205 2160 3
2160 2159 4
2159 2119 2
2119 2071 2
2071 2002 3
2002 1899 4
1899 1844 3
1844 1785 2
1785 1813 2
1813 1784 2
1784 1757 2
1757 1843 3
1843 1897 2
1897 1898 3
1898 1950 3
1950 2029 3
2029 2001 3
2001 1973 2
1973 1949 3
1949 1896 2
1896 1842 2
1842 1783 2
1783 1756 2
1756 1722 2
1722 1691 2
1691 1629 2
1629 1660 2
1660 1600 2
1600 1562 1
1562 1561 2
1561 1531 2
1531 1599 2
1599 1659 2
1659 1658 2
1658 1628 2
1628 1598 2
1598 1560 1
1560 1530 2
1530 1496 1
1496 1425 2
1425 1352 2
1352 1319 1
1319 1353 2
1353 1426 2
1426 1462 1
1462 1463 2
1463 1497 2
1497 1427 2
1427 1464 1
1464 1393 2
1393 1355 1
1355 1320 2
1320 1392 2
1392 1354 1
1354 1286 2
1286 1246 2
1246 1245 2
1245 1216 2
1216 1285 2
1285 1318 1
1318 1391 2
1391 1424 1
1424 1495 2
1495 1559 2
1559 1627 2
1627 1597 2
1597 1657 2
1657 1719 2
1719 1718 2
1718 1656 2
1656 1596 2
1596 1558 1
1558 1493 2
1493 1557 2
1557 1626 2
1626 1595 2
1595 1528 2
1528 1459 2
1459 1389 2
1389 1317 2
1317 1244 2
1244 1174 2
1174 1214 2
1214 1283 2
1283 1350 2
1350 1349 2
1349 1421 2
1421 1422 2
1422 1460 1
1460 1494 2
1494 1529 1
1529 1461 2
1461 1423 1
1423 1390 1
1390 1351 1
1351 1284 2
1284 1175 3
1175 1215 2
1215 1142 2
1142 1074 2
1074 1105 2
1105 1033 2
1033 968 2
968 1007 2
1007 943 2
943 905 2
905 967 2
967 1006 2
1006 1032 2
1032 1104 2
1104 1103 2
1103 1073 1
1073 1005 2
1005 942 2
942 904 1
904 845 2
845 784 2
784 846 3
846 847 2
847 876 2
876 906 2
906 969 2
969 1034 2
1034 1075 1
1075 1143 2
1143 1176 1
1176 1217 2
1217 1247 1
1247 1248 2
1248 1287 2
1287 1218 2
1218 1145 2
1145 1107 2
1107 1177 2
1177 1144 2
1144 1106 2
1106 1035 2
1035 970 2
970 907 2
907 877 1
877 818 2
818 758 2
758 817 3
817 816 2
816 757 2
757 701 2
701 641 2
641 589 2
589 554 2
554 504 2
504 449 2
449 423 2
423 373 3
373 326 2
326 297 2
297 276 2
276 215 2
215 158 2
158 131 2
131 101 2
101 15 4
15 50 2
50 16 3
16 51 2
51 77 2
77 132 3
132 159 2
159 216 3
216 243 2
243 298 2
298 374 3
374 424 2
424 478 2
478 536 2
536 590 2
590 642 2
642 671 1
671 702 3
702 731 2
731 786 2
786 759 2
759 819 2
819 878 2
878 908 1
908 971 2
971 1036 2
1036 1037 2
1037 1038 2
1038 972 2
972 909 2
909 848 2
848 787 3
787 849 2
849 910 2
910 973 2
973 1039 2
1039 1040 2
1040 1108 2
1108 1178 2
1178 1219 2
1219 1249 1
1249 1321 2
1321 1356 1
1356 1428 2
1428 1499 2
1499 1498 2
1498 1563 2
1563 1630 2
1630 1692 2
1692 1693 2
1693 1723 2
1723 1661 2
1661 1601 2
1601 1564 1
1564 1532 2
1532 1465 2
1465 1429 1
1429 1357 2
